order,name,description,vector,type,units,region,2021,2022,2023,2024
192,LAMY(ROW),"marginal value of capital, raw capital sector",cos,j1l,pct,ROW,125.82892749,127.83435028,125.68167002,124.83905185
193,LAMZ(USA),marginal value of a unit of household capital,cos,j1l,pct,USA,105.87290293,106.46765168,106.05926485,105.24901773
194,LAMZ(ROW),marginal value of a unit of household capital,cos,j1l,pct,ROW,105.87290293,106.46765168,106.05926485,105.24901773
195,LGDPN(USA),"GDP, nominal",exo,exo,nomusdbillion,USA,24366.52664975,26784.99563169,28421.04168049,29995.69932091
196,LGDPN(ROW),"GDP, nominal",exo,exo,nomusdbillion,ROW,24366.52664975,26784.99563169,28421.04168049,29995.69932091
197,LGDPR(USA),"GDP, real",exo,exo,realusdbillion,USA,27065.33723541,27776.09815255,28421.04168049,29269.13166029
198,LGDPR(ROW),"GDP, real",exo,exo,realusdbillion,ROW,27065.33723541,27776.09815255,28421.04168049,29269.13166029
199,MONE(USA),money demand,end,z1l,gdp,USA,60,60,60,60
200,MONE(ROW),money demand,end,z1l,gdp,ROW,60,60,60,60
201,NB02(USA),"interest rate, 2-year, nominal",end,z1l,pct,USA,0.247,2.29991667,5.0555,4.96658333
202,NB02(ROW),"interest rate, 2-year, nominal",end,z1l,pct,ROW,0.247,2.29991667,5.0555,4.96658333
203,NB05(USA),"interest rate, 5-year, nominal",end,z1l,pct,USA,0.77833333,2.58958333,4.5675,4.62958333
204,NB05(ROW),"interest rate, 5-year, nominal",end,z1l,pct,ROW,0.77833333,2.58958333,4.5675,4.62958333
205,NB10(USA),"interest rate, 10-year, nominal",end,z1l,pct,USA,1.4425,2.95166667,3.9575,4.20833333
206,NB10(ROW),"interest rate, 10-year, nominal",end,z1l,pct,ROW,1.4425,2.95166667,3.9575,4.20833333
207,NEER(USA),"trade-weighted exchange rate, FC/domestic",end,z1l,idx,USA,91.77030338,100.70831134,100,101.14171541
208,NEER(ROW),"trade-weighted exchange rate, FC/domestic",end,z1l,idx,ROW,91.77030338,100.70831134,100,101.14171541
209,"OI(a01,g02,USA)",sector demand for material goods,end,z1l,gdp,USA,1.82197035,1.8366466,1.84701854,1.83935854
210,"OI(a01,g02,ROW)",sector demand for material goods,end,z1l,gdp,ROW,1.82197035,1.8366466,1.84701854,1.83935854
211,"OI(a02,g02,USA)",sector demand for material goods,end,z1l,gdp,USA,60.95247034,60.81639788,61.23775611,61.12095901
212,"OI(a02,g02,ROW)",sector demand for material goods,end,z1l,gdp,ROW,60.95247034,60.81639788,61.23775611,61.12095901
213,"OIN(a01,USA)",sector demand for materials,end,z1l,gdp,USA,1.82197035,1.8366466,1.84701854,1.83935854
214,"OIN(a01,ROW)",sector demand for materials,end,z1l,gdp,ROW,1.82197035,1.8366466,1.84701854,1.83935854
215,"OIN(a02,USA)",sector demand for materials,end,z1l,gdp,USA,60.95247034,60.81639788,61.23775611,61.12095901
216,"OIN(a02,ROW)",sector demand for materials,end,z1l,gdp,ROW,60.95247034,60.81639788,61.23775611,61.12095901
217,"OUG(g01,USA)",domestic supply of goods,end,z1l,gdp,USA,7.86276547,7.87926077,7.91136116,7.89296525
218,"OUG(g01,ROW)",domestic supply of goods,end,z1l,gdp,ROW,7.86276547,7.87926077,7.91136116,7.89296525
219,"OUG(g02,USA)",domestic supply of goods,end,z1l,gdp,USA,150.61256974,150.42863743,150.88173179,150.76418625
220,"OUG(g02,ROW)",domestic supply of goods,end,z1l,gdp,ROW,150.61256974,150.42863743,150.88173179,150.76418625
221,"OUP(a01,USA)",domestic production,end,z1l,gdp,USA,7.86276547,7.87926077,7.91136116,7.89296525
222,"OUP(a01,ROW)",domestic production,end,z1l,gdp,ROW,7.86276547,7.87926077,7.91136116,7.89296525
223,"OUP(a02,USA)",domestic production,end,z1l,gdp,USA,150.61256974,150.42863743,150.88173179,150.76418625
224,"OUP(a02,ROW)",domestic production,end,z1l,gdp,ROW,150.61256974,150.42863743,150.88173179,150.76418625
225,OUTL(USA),aggregate output (lagged),sta,x1l,gdp,USA,158.47533521,158.47533521,158.3078982,158.79309295
226,OUTL(ROW),aggregate output (lagged),sta,x1l,gdp,ROW,158.47533521,158.47533521,158.3078982,158.79309295
227,OUTP(USA),aggregate output,ets,zel,gdp,USA,158.47533521,158.3078982,158.79309295,158.65715151
228,OUTP(ROW),aggregate output,ets,zel,gdp,ROW,158.47533521,158.3078982,158.79309295,158.65715151
229,"OUY(g01,USA)",composite supply,end,z1l,gdp,USA,8.71351159,8.78445339,8.73570594,8.72534202
230,"OUY(g01,ROW)",composite supply,end,z1l,gdp,ROW,8.71351159,8.78445339,8.73570594,8.72534202
231,"OUY(g02,USA)",composite supply,end,z1l,gdp,USA,163.80488046,164.46523653,163.66464334,163.6716479
232,"OUY(g02,ROW)",composite supply,end,z1l,gdp,ROW,163.80488046,164.46523653,163.66464334,163.6716479
233,PGDP(USA),GDP implicit price deflator,end,z1l,idx,USA,90.02853516,96.43181517,100,102.48236835
234,PGDP(ROW),GDP implicit price deflator,end,z1l,idx,ROW,90.02853516,96.43181517,100,102.48236835
235,"PIM(g01,USA,USA)",landed price of imports,end,z1l,idx,USA,100,100,100,100
