order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
81,GCET(USA),national accounts government spending excluding labor,end,z1l,gdp,USA,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
82,GCET(ROW),national accounts government spending excluding labor,end,z1l,gdp,ROW,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
83,GDPN(USA),"GDP, nominal",end,z1l,gdp,USA,81.70614623,83.57794548,84.95736565,86.09982381,90.02853516,96.43181517,100,102.48236835
84,GDPN(ROW),"GDP, nominal",end,z1l,gdp,ROW,81.70614623,83.57794548,84.95736565,86.09982381,90.02853516,96.43181517,100,102.48236835
85,GDPR(USA),"GDP, real",end,z1l,gdp,USA,100,100,100,100,100,100,100,100
86,GDPR(ROW),"GDP, real",end,z1l,gdp,ROW,100,100,100,100,100,100,100,100
87,GNEN(USA),"GNE, nominal",end,z1l,gdp,USA,85.81897304,87.62073126,88.82514944,89.84765769,93.80713556,100.28318573,103.73611546,106.27011194
88,GNEN(ROW),"GNE, nominal",end,z1l,gdp,ROW,85.81897304,87.62073126,88.82514944,89.84765769,93.80713556,100.28318573,103.73611546,106.27011194
89,GNER(USA),"GNE, real",end,z1l,gdp,USA,103.69428324,103.76748523,103.66538611,103.65401267,103.93718011,103.92931647,103.73611546,103.76860712
90,GNER(ROW),"GNE, real",end,z1l,gdp,ROW,103.69428324,103.76748523,103.66538611,103.65401267,103.93718011,103.92931647,103.73611546,103.76860712
91,GNPR(USA),gross national product,end,z1l,gdp,USA,98.50064907,98.23452884,97.98399605,97.43759823,97.07081703,97.68727431,97.35982153,96.73895657
92,GNPR(ROW),gross national product,end,z1l,gdp,ROW,98.50064907,98.23452884,97.98399605,97.43759823,97.07081703,97.68727431,97.35982153,96.73895657
93,GOVL(USA),labor used by government,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
94,GOVL(ROW),labor used by government,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
95,GOVS(USA),government spending excluding labor,exo,exo,gdp,USA,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
96,GOVS(ROW),government spending excluding labor,exo,exo,gdp,ROW,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
97,GOVT(USA),national accounts government spending including labor,end,z1l,gdp,USA,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
98,GOVT(ROW),national accounts government spending including labor,end,z1l,gdp,ROW,16.99413403,17.02839908,17.22946127,18.23279214,17.23721487,16.6907277,16.63608927,16.76179335
99,"IIN(g01,USA)",raw capital sector demand for goods,end,z1l,gdp,USA,0,0,0,0,0,0,0,0
100,"IIN(g01,ROW)",raw capital sector demand for goods,end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
101,"IIN(g02,USA)",raw capital sector demand for goods,end,z1l,gdp,USA,15.62134416,15.87427257,15.89861232,15.80564443,15.8156395,15.99935518,16.02852704,15.90407685
102,"IIN(g02,ROW)",raw capital sector demand for goods,end,z1l,gdp,ROW,15.62134416,15.87427257,15.89861232,15.80564443,15.8156395,15.99935518,16.02852704,15.90407685
103,IITE(USA),raw capital sector demand for energy,end,z1l,gdp,USA,0,0,0,0,0,0,0,0
104,IITE(ROW),raw capital sector demand for energy,end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
105,IITL(USA),raw capital sector demand for labor,end,z1l,gdp,USA,0.78106721,0.79371363,0.79493062,0.79028222,0.79078198,0.79996776,0.80142635,0.79520384
